missing_rate,MSE,normal_mse,precision,recall,F1_score,AUC,accuracy,lag,batch_size,gru1_outlen,gru2_outlen,critic_h_feats,GCN_embedding_dimensions,K,dropout,AE_if_activation,n_critic,auto_lr,crit_lr,betas,focus_on,EwEb,skip,skip_rate,glob_attr,global_attribute,global_rate,adversarial,patience,epochs
0,0.070796849,0.325532687,0.856738392,0.950376884,0.901131626,0.758729617,0.83733464,250,128,500,250,500,50,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0,0.113483099,0.466458285,0.854576081,0.966963151,0.907302534,0.816878111,0.846267919,200,32,100,300,400,50,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0,0.082475568,0.394695302,0.851873536,0.943579767,0.895384615,0.7455666,0.829231542,200,128,500,400,500,50,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0,0.069456481,0.337645879,0.849615157,0.965679677,0.903937008,0.721687495,0.842377261,400,128,800,800,800,30,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0,0.076810275,0.338273008,0.849110729,0.977542933,0.90881179,0.711996128,0.848700968,300,128,600,600,600,50,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0,0.076525707,0.360284721,0.848621272,0.977950713,0.908707442,0.680057138,0.847815168,200,128,500,400,500,25,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0,0.120263877,0.499795172,0.845532831,0.986809045,0.910724638,0.690733735,0.849093582,250,256,500,250,500,50,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.1,0.065973712,0.292742111,0.846678024,0.936557789,0.889352818,0.705754552,0.81822636,250,128,500,400,500,50,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.1,0.083514964,0.408482653,0.845566647,0.93385214,0.88751926,0.710381046,0.816675038,200,128,400,300,400,50,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.1,0.059323958,0.284522773,0.845566647,0.951122853,0.895244016,0.716846184,0.828323994,300,128,600,300,600,50,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.1,0.059323958,0.284522773,0.845566647,0.951122853,0.895244016,0.716846184,0.828323994,300,128,600,300,600,50,2,0.25,TRUE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.1,0.089473475,0.382022214,0.844006568,0.968592965,0.902018134,0.702552294,0.835864772,250,128,600,500,500,50,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.2,0.114331895,0.426247269,0.85041225,0.936446174,0.891358025,0.738646769,0.82320442,200,128,500,400,500,25,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1+Pre,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
0.2,0.114331895,0.426247269,0.845618108,0.944876783,0.892496172,0.738646769,0.82370668,200,128,500,400,500,25,2,0.25,FALSE,5,0.001,0.001,"(0, 0.9)",F1,TRUE,FALSE,0.5,FALSE,mean,1,TRUE,10,500
